username,studentCode,assignmentCode
DucHLTSE192335,se192335,104
DucLHMSE182642,se182642,104
DUCVVMSE193219,se193219,104
hungnqse182498,se182498,104
hungntgse171905,se171905,104
hungpdse182153,se182153,104
HuyDTSE180132,se180132,104
HuyLMSE182698,se182698,104
huyndse173219,se173219,104
huynvse173703,se173703,104
huythse180580,se180580,104
KhangHMSE192197,se192197,104
khanglxse181819,se181819,104
khoandse184762,se184762,104
khoatdse194576,se194576,104
KhoiDNSE193949,se193949,104
khoindse184910,se184910,104
KhoiPDSE192931,se192931,104
KietDTSE183938,se183938,104
KietNTSE180240,se180240,104
KietPASE190051,se190051,104
lamtxhse183264,se183264,104
LinhVNPSE182577,se182577,104
LongDXBSE192672,se192672,104
longthse184073,se184073,104
MinhNTSE196686,se196686,104
minhthbse192036,se192036,104
namtqse182934,se182934,104
Nguyennvse180746,se180746,104
phatntse182742,se182742,104
PhatTTSE183798,se183798,104
sangntse180064,se180064,104
tainhhse182011,se182011,104
TamTMSE183625,se183625,104
TanHNSE180506,se180506,104
thinhtpse183355,se183355,104
thuandntse150361,se150361,104
tinncse181736,se181736,104
TotNTSE181863,se181863,104
TrangNTTSE184351,se184351,104
tuanlmse180276,se180276,104
tungntse160494,se160494,104
vinhntqse180354,se180354,104
