username,studentCode,assignmentCode
AnhKVSE182347,se182347,103
Anhnhse180234,se180234,103
BaoNPTSE183336,se183336,103
BaoNTGSE183874,se183874,103
BaoTDSE180054,se180054,103
binhvdnse183797,se183797,103
DungNTSE180117,se180117,103
duyphse161125,se161125,103
duytvdse182636,se182636,103
HaiPNDSE181854,se181854,103
hieunmse162040,se162040,103
hoangdvse180560,se180560,103
HoangTMSE192121,se192121,103
huyentpqe190125,qe190125,103
huynqse190794,se190794,103
huyqhse172520,se172520,103
khanhhdse180719,se180719,103
Khanhnqse193464,se193464,103
khiemlgse184337,se184337,103
KhietTNSE192015,se192015,103
KhoaNASE185095,se185095,103
khoinqse194293,se194293,103
khoivtse184567,se184567,103
KietLGSE193928,se193928,103
lamnqse183514,se183514,103
LinhTDSE184666,se184666,103
manhnvse184068,se184068,103
MinhLQSE182696,se182696,103
NamNTSE180495,se180495,103
nhiltxse182730,se182730,103
phuchkse192882,se192882,103
PhucPLHSE183189,se183189,103
PhuNGSE183613,se183613,103
PhuongPHHSE192623,se192623,103
synnvse160343,se160343,103
tamnmse184234,se184234,103
thainmse180331,se180331,103
thanhhvse180193,se180193,103
thienltnse182117,se182117,103
ThienTNMSE173602,se173602,103
thinhntse193112,se193112,103
ThinhTTSE182004,se182004,103
TriHQSE184859,se184859,103
TrungCVKSE181536,se181536,103
TruongLSSE180413,se180413,103
tuandlase182863,se182863,103
TuanVHMSE192327,se192327,103
viltyse182544,se182544,103
