username,studentCode,assignmentCode
antdse190747,se190747,102
chauphmse193418,se193418,102
dathmse170386,se170386,102
datntse181844,se181844,102
DatNVTSE184450,se184450,102
doanhpdse173527,se173527,102
DuongHTSE180223,se180223,102
duyndase161859,se161859,102
DuyTASE181997,se181997,102
giangnbse184565,se184565,102
hannnbse185067,se185067,102
HauPTSE180715,se180715,102
hiepnxse194087,se194087,102
hoahttse161039,se161039,102
HoangLCKSE192527,se192527,102
huydqse151428,se151428,102
huyplgse182723,se182723,102
huyplnse183324,se183324,102
KhangLNDSE193897,se193897,102
KhanhMNDSE196605,se196605,102
KhoaHLDSE182425,se182425,102
khoatase192280,se192280,102
khoiVBMSE184334,se184334,102
khuonghase193105,se193105,102
KIETHTSE180309,se180309,102
LamTQSE184054,se184054,102
LinhPDSE182543,se182543,102
LocPTSE184400,se184400,102
MinhTTSE192879,se192879,102
NamDPSE192107,se192107,102
NINHLNASE181799,se181799,102
QuangTTSE182608,se182608,102
quangvnse180410,se180410,102
sonptse180048,se180048,102
tamvcse184199,se184199,102
tanphse180176,se180176,102
tantdse181727,se181727,102
thanghsse180107,se180107,102
thanhmvse184745,se184745,102
thanhndse183476,se183476,102
ThienNTSE180258,se180258,102
ThinhTPSE182101,se182101,102
thoitnse180471,se180471,102
tungnvse182691,se182691,102
tutvse183580,se183580,102
VuongVTSE184808,se184808,102
